ICD_Code,ICD_Group,Name
S42279,S,Torus fracture of upper end of unspecified humerus
S4229,S,Other fracture of upper end of humerus
S42291,S,Other displaced fracture of upper end of right humerus
S42292,S,Other displaced fracture of upper end of left humerus
S42293,S,Other displaced fracture of upper end of unspecified humeru
S42294,S,Other nondisplaced fracture of upper end of right humerus
S42295,S,Other nondisplaced fracture of upper end of left humerus
S42296,S,Other nondisp fx of upper end of unspecified humerus
S423,S,Fracture of shaft of humerus
S4230,S,Unspecified fracture of shaft of humerus
S42301,S,"Unspecified fracture of shaft of humerus, right arm"
S42302,S,"Unspecified fracture of shaft of humerus, left arm"
S42309,S,"Unspecified fracture of shaft of humerus, unspecified arm"
S4231,S,Greenstick fracture of shaft of humerus
S42311,S,"Greenstick fracture of shaft of humerus, right arm"
S42312,S,"Greenstick fracture of shaft of humerus, left arm"
S42319,S,"Greenstick fracture of shaft of humerus, unspecified arm"
S4232,S,Transverse fracture of shaft of humerus
S42321,S,"Displaced transverse fracture of shaft of humerus, right ar"
S42322,S,"Displaced transverse fracture of shaft of humerus, left arm"
S42323,S,"Displaced transverse fracture of shaft of humerus, unsp arm"
S42324,S,"Nondisp transverse fracture of shaft of humerus, right arm"
S42325,S,"Nondisp transverse fracture of shaft of humerus, left arm"
S42326,S,"Nondisp transverse fracture of shaft of humerus, unsp arm"
S4233,S,Oblique fracture of shaft of humerus
S42331,S,"Displaced oblique fracture of shaft of humerus, right arm"
S42332,S,"Displaced oblique fracture of shaft of humerus, left arm"
S42333,S,"Displaced oblique fracture of shaft of humerus, unsp arm"
S42334,S,"Nondisplaced oblique fracture of shaft of humerus, right ar"
S42335,S,"Nondisplaced oblique fracture of shaft of humerus, left arm"
S42336,S,"Nondisplaced oblique fracture of shaft of humerus, unsp arm"
S4234,S,Spiral fracture of shaft of humerus
S42341,S,"Displaced spiral fracture of shaft of humerus, right arm"
S42342,S,"Displaced spiral fracture of shaft of humerus, left arm"
S42343,S,"Displaced spiral fracture of shaft of humerus, unsp arm"
S42344,S,"Nondisplaced spiral fracture of shaft of humerus, right arm"
S42345,S,"Nondisplaced spiral fracture of shaft of humerus, left arm"
S42346,S,"Nondisplaced spiral fracture of shaft of humerus, unsp arm"
S4235,S,Comminuted fracture of shaft of humerus
S42351,S,"Displaced comminuted fracture of shaft of humerus, right ar"
S42352,S,"Displaced comminuted fracture of shaft of humerus, left arm"
S42353,S,"Displaced comminuted fracture of shaft of humerus, unsp arm"
S42354,S,"Nondisp comminuted fracture of shaft of humerus, right arm"
S42355,S,"Nondisp comminuted fracture of shaft of humerus, left arm"
S42356,S,"Nondisp comminuted fracture of shaft of humerus, unsp arm"
S4236,S,Segmental fracture of shaft of humerus
S42361,S,"Displaced segmental fracture of shaft of humerus, right arm"
S42362,S,"Displaced segmental fracture of shaft of humerus, left arm"
S42363,S,"Displaced segmental fracture of shaft of humerus, unsp arm"
S42364,S,"Nondisp segmental fracture of shaft of humerus, right arm"
S42365,S,"Nondisp segmental fracture of shaft of humerus, left arm"
S42366,S,"Nondisp segmental fracture of shaft of humerus, unsp arm"
S4239,S,Other fracture of shaft of humerus
S42391,S,Other fracture of shaft of right humerus
S42392,S,Other fracture of shaft of left humerus
S42399,S,Other fracture of shaft of unspecified humerus
S424,S,Fracture of lower end of humerus
S4240,S,Unspecified fracture of lower end of humerus
S42401,S,Unspecified fracture of lower end of right humerus
S42402,S,Unspecified fracture of lower end of left humerus
S42409,S,Unspecified fracture of lower end of unspecified humerus
S4241,S,Simple suprcndl fracture w/o intrcndl fracture of humerus
S42411,S,Displaced simple suprcndl fracture w/o intrcndl fx r humeru
S42412,S,Displaced simple suprcndl fracture w/o intrcndl fx l humeru
S42413,S,Displ simple suprcndl fracture w/o intrcndl fx unsp humerus
S42414,S,Nondisp simple suprcndl fracture w/o intrcndl fx r humerus
S42415,S,Nondisp simple suprcndl fracture w/o intrcndl fx l humerus
S42416,S,Nondisp simple suprcndl fx w/o intrcndl fx unsp humerus
S4242,S,Comminuted suprcndl fracture w/o intrcndl fx humerus
S42421,S,Displaced commnt suprcndl fracture w/o intrcndl fx r humeru
S42422,S,Displaced commnt suprcndl fracture w/o intrcndl fx l humeru
S42423,S,Displ commnt suprcndl fracture w/o intrcndl fx unsp humerus
S42424,S,Nondisp commnt suprcndl fracture w/o intrcndl fx r humerus
S42425,S,Nondisp commnt suprcndl fracture w/o intrcndl fx l humerus
S42426,S,Nondisp commnt suprcndl fx w/o intrcndl fx unsp humerus
S4243,S,Fracture (avulsion) of lateral epicondyle of humerus
S42431,S,Disp fx (avulsion) of lateral epicondyle of right humerus
S42432,S,Disp fx (avulsion) of lateral epicondyle of left humerus
S42433,S,Disp fx (avulsion) of lateral epicondyle of unsp humerus
S42434,S,Nondisp fx (avulsion) of lateral epicondyle of right humeru
S42435,S,Nondisp fx (avulsion) of lateral epicondyle of left humerus
S42436,S,Nondisp fx (avulsion) of lateral epicondyle of unsp humerus
S4244,S,Fracture (avulsion) of medial epicondyle of humerus
S42441,S,Disp fx (avulsion) of medial epicondyle of right humerus
S42442,S,Disp fx (avulsion) of medial epicondyle of left humerus
S42443,S,Disp fx (avulsion) of medial epicondyle of unsp humerus
S42444,S,Nondisp fx (avulsion) of medial epicondyle of right humerus
S42445,S,Nondisp fx (avulsion) of medial epicondyle of left humerus
S42446,S,Nondisp fx (avulsion) of medial epicondyle of unsp humerus
S42447,S,Incarcerated fracture of medial epicondyle of r humerus
S42448,S,Incarcerated fracture of medial epicondyle of l humerus
S42449,S,Incarcerated fracture of medial epicondyle of unsp humerus
S4245,S,Fracture of lateral condyle of humerus
S42451,S,Displaced fracture of lateral condyle of right humerus
S42452,S,Displaced fracture of lateral condyle of left humerus
S42453,S,Displaced fracture of lateral condyle of unspecified humeru
S42454,S,Nondisplaced fracture of lateral condyle of right humerus
S42455,S,Nondisplaced fracture of lateral condyle of left humerus
S42456,S,Nondisp fx of lateral condyle of unspecified humerus
S4246,S,Fracture of medial condyle of humerus
S42461,S,Displaced fracture of medial condyle of right humerus
S42462,S,Displaced fracture of medial condyle of left humerus
S42463,S,Displaced fracture of medial condyle of unspecified humerus
S42464,S,Nondisplaced fracture of medial condyle of right humerus
S42465,S,Nondisplaced fracture of medial condyle of left humerus
S42466,S,Nondisp fx of medial condyle of unspecified humerus
S4247,S,Transcondylar fracture of humerus
S42471,S,Displaced transcondylar fracture of right humerus
S42472,S,Displaced transcondylar fracture of left humerus
S42473,S,Displaced transcondylar fracture of unspecified humerus
S42474,S,Nondisplaced transcondylar fracture of right humerus
S42475,S,Nondisplaced transcondylar fracture of left humerus
S42476,S,Nondisplaced transcondylar fracture of unspecified humerus
S4248,S,Torus fracture of lower end of humerus
S42481,S,Torus fracture of lower end of right humerus
S42482,S,Torus fracture of lower end of left humerus
S42489,S,Torus fracture of lower end of unspecified humerus
S4249,S,Other fracture of lower end of humerus
S42491,S,Other displaced fracture of lower end of right humerus
S42492,S,Other displaced fracture of lower end of left humerus
S42493,S,Other displaced fracture of lower end of unspecified humeru
S42494,S,Other nondisplaced fracture of lower end of right humerus
S42495,S,Other nondisplaced fracture of lower end of left humerus
S42496,S,Other nondisp fx of lower end of unspecified humerus
S429,S,"Fracture of shoulder girdle, part unspecified"
S4290,S,"Fracture of unspecified shoulder girdle, part unspecified"
S4291,S,"Fracture of right shoulder girdle, part unspecified"
S4292,S,"Fracture of left shoulder girdle, part unspecified"
S43,S,Disloc and sprain of joints and ligaments of shoulder girdl
S430,S,Subluxation and dislocation of shoulder joint
S4300,S,Unspecified subluxation and dislocation of shoulder joint
S43001,S,Unspecified subluxation of right shoulder joint
S43002,S,Unspecified subluxation of left shoulder joint
S43003,S,Unspecified subluxation of unspecified shoulder joint
S43004,S,Unspecified dislocation of right shoulder joint
S43005,S,Unspecified dislocation of left shoulder joint
S43006,S,Unspecified dislocation of unspecified shoulder joint
S4301,S,Anterior subluxation and dislocation of humerus
S43011,S,Anterior subluxation of right humerus
S43012,S,Anterior subluxation of left humerus
S43013,S,Anterior subluxation of unspecified humerus
S43014,S,Anterior dislocation of right humerus
S43015,S,Anterior dislocation of left humerus
S43016,S,Anterior dislocation of unspecified humerus
S4302,S,Posterior subluxation and dislocation of humerus
S43021,S,Posterior subluxation of right humerus
S43022,S,Posterior subluxation of left humerus
S43023,S,Posterior subluxation of unspecified humerus
S43024,S,Posterior dislocation of right humerus
S43025,S,Posterior dislocation of left humerus
S43026,S,Posterior dislocation of unspecified humerus
S4303,S,Inferior subluxation and dislocation of humerus
S43031,S,Inferior subluxation of right humerus
S43032,S,Inferior subluxation of left humerus
S43033,S,Inferior subluxation of unspecified humerus
S43034,S,Inferior dislocation of right humerus
S43035,S,Inferior dislocation of left humerus
S43036,S,Inferior dislocation of unspecified humerus
S4308,S,Other subluxation and dislocation of shoulder joint
S43081,S,Other subluxation of right shoulder joint
S43082,S,Other subluxation of left shoulder joint
S43083,S,Other subluxation of unspecified shoulder joint
S43084,S,Other dislocation of right shoulder joint
S43085,S,Other dislocation of left shoulder joint
S43086,S,Other dislocation of unspecified shoulder joint
S431,S,Subluxation and dislocation of acromioclavicular joint
S4310,S,Unspecified dislocation of acromioclavicular joint
S43101,S,Unspecified dislocation of right acromioclavicular joint
S43102,S,Unspecified dislocation of left acromioclavicular joint
S43109,S,Unsp dislocation of unspecified acromioclavicular joint
S4311,S,Subluxation of acromioclavicular joint
S43111,S,Subluxation of right acromioclavicular joint
S43112,S,Subluxation of left acromioclavicular joint
S43119,S,Subluxation of unspecified acromioclavicular joint
S4312,S,"Dislocation of acromioclav jt, 100%-200% displacement"
S43121,S,"Dislocation of r acromioclav jt, 100%-200% displacement"
S43122,S,"Dislocation of l acromioclav jt, 100%-200% displacement"
S43129,S,"Dislocation of unsp acromioclav jt, 100%-200% displacement"
S4313,S,"Dislocation of acromioclav jt, greater than 200% displacmnt"
S43131,S,"Dislocation of r acromioclav jt, > 200% displacmnt"
S43132,S,"Dislocation of l acromioclav jt, > 200% displacmnt"
S43139,S,"Dislocation of unsp acromioclav jt, > 200% displacmnt"
S4314,S,Inferior dislocation of acromioclavicular joint
S43141,S,Inferior dislocation of right acromioclavicular joint
S43142,S,Inferior dislocation of left acromioclavicular joint
S43149,S,Inferior dislocation of unspecified acromioclavicular joint
S4315,S,Posterior dislocation of acromioclavicular joint
S43151,S,Posterior dislocation of right acromioclavicular joint
S43152,S,Posterior dislocation of left acromioclavicular joint
S43159,S,Posterior dislocation of unspecified acromioclavicular join
S432,S,Subluxation and dislocation of sternoclavicular joint
S4320,S,Unsp subluxation and dislocation of sternoclavicular joint
S43201,S,Unspecified subluxation of right sternoclavicular joint
S43202,S,Unspecified subluxation of left sternoclavicular joint
S43203,S,Unsp subluxation of unspecified sternoclavicular joint
S43204,S,Unspecified dislocation of right sternoclavicular joint
S43205,S,Unspecified dislocation of left sternoclavicular joint
S43206,S,Unsp dislocation of unspecified sternoclavicular joint
S4321,S,Anterior subluxation and dislocation of sternoclav jt
S43211,S,Anterior subluxation of right sternoclavicular joint
S43212,S,Anterior subluxation of left sternoclavicular joint
S43213,S,Anterior subluxation of unspecified sternoclavicular joint
S43214,S,Anterior dislocation of right sternoclavicular joint
S43215,S,Anterior dislocation of left sternoclavicular joint
S43216,S,Anterior dislocation of unspecified sternoclavicular joint
S4322,S,Posterior subluxation and dislocation of sternoclav jt
S43221,S,Posterior subluxation of right sternoclavicular joint
S43222,S,Posterior subluxation of left sternoclavicular joint
S43223,S,Posterior subluxation of unspecified sternoclavicular joint
S43224,S,Posterior dislocation of right sternoclavicular joint
S43225,S,Posterior dislocation of left sternoclavicular joint
S43226,S,Posterior dislocation of unspecified sternoclavicular joint
S433,S,Subluxation and disloc of and unsp parts of shoulder girdle
S4330,S,Subluxation and dislocation of unsp parts of shoulder girdl
S43301,S,Subluxation of unspecified parts of right shoulder girdle
S43302,S,Subluxation of unspecified parts of left shoulder girdle
S43303,S,Subluxation of unsp parts of unspecified shoulder girdle
S43304,S,Dislocation of unspecified parts of right shoulder girdle
S43305,S,Dislocation of unspecified parts of left shoulder girdle
S43306,S,Dislocation of unsp parts of unspecified shoulder girdle
S4331,S,Subluxation and dislocation of scapula
S43311,S,Subluxation of right scapula
S43312,S,Subluxation of left scapula
S43313,S,Subluxation of unspecified scapula
S43314,S,Dislocation of right scapula
S43315,S,Dislocation of left scapula
S43316,S,Dislocation of unspecified scapula
S4339,S,Subluxation and dislocation of oth parts of shoulder girdle
S43391,S,Subluxation of other parts of right shoulder girdle
S43392,S,Subluxation of other parts of left shoulder girdle
S43393,S,Subluxation of other parts of unspecified shoulder girdle
S43394,S,Dislocation of other parts of right shoulder girdle
S43395,S,Dislocation of other parts of left shoulder girdle
S43396,S,Dislocation of other parts of unspecified shoulder girdle
S434,S,Sprain of shoulder joint
S4340,S,Unspecified sprain of shoulder joint
S43401,S,Unspecified sprain of right shoulder joint
S43402,S,Unspecified sprain of left shoulder joint
S43409,S,Unspecified sprain of unspecified shoulder joint
S4341,S,Sprain of coracohumeral (ligament)
S43411,S,Sprain of right coracohumeral (ligament)
S43412,S,Sprain of left coracohumeral (ligament)
S43419,S,Sprain of unspecified coracohumeral (ligament)
S4342,S,Sprain of rotator cuff capsule
S43421,S,Sprain of right rotator cuff capsule
S43422,S,Sprain of left rotator cuff capsule
S43429,S,Sprain of unspecified rotator cuff capsule
S4343,S,Superior glenoid labrum lesion
S43431,S,Superior glenoid labrum lesion of right shoulder
S43432,S,Superior glenoid labrum lesion of left shoulder
S43439,S,Superior glenoid labrum lesion of unspecified shoulder
S4349,S,Other sprain of shoulder joint
S43491,S,Other sprain of right shoulder joint
S43492,S,Other sprain of left shoulder joint
S43499,S,Other sprain of unspecified shoulder joint
S435,S,Sprain of acromioclavicular joint
S4350,S,Sprain of unspecified acromioclavicular joint
S4351,S,Sprain of right acromioclavicular joint
S4352,S,Sprain of left acromioclavicular joint
S436,S,Sprain of sternoclavicular joint
S4360,S,Sprain of unspecified sternoclavicular joint
S4361,S,Sprain of right sternoclavicular joint
S4362,S,Sprain of left sternoclavicular joint
S438,S,Sprain of other specified parts of shoulder girdle
S4380,S,Sprain of oth parts of unspecified shoulder girdle
S4381,S,Sprain of other specified parts of right shoulder girdle
S4382,S,Sprain of other specified parts of left shoulder girdle
S439,S,Sprain of unspecified parts of shoulder girdle
S4390,S,Sprain of unspecified parts of unspecified shoulder girdle
S4391,S,Sprain of unspecified parts of right shoulder girdle
S4392,S,Sprain of unspecified parts of left shoulder girdle
S44,S,Injury of nerves at shoulder and upper arm level
S440,S,Injury of ulnar nerve at upper arm level
S4400,S,"Injury of ulnar nerve at upper arm level, unspecified arm"
S4401,S,"Injury of ulnar nerve at upper arm level, right arm"
S4402,S,"Injury of ulnar nerve at upper arm level, left arm"
S441,S,Injury of median nerve at upper arm level
S4410,S,"Injury of median nerve at upper arm level, unspecified arm"
S4411,S,"Injury of median nerve at upper arm level, right arm"
S4412,S,"Injury of median nerve at upper arm level, left arm"
S442,S,Injury of radial nerve at upper arm level
S4420,S,"Injury of radial nerve at upper arm level, unspecified arm"
S4421,S,"Injury of radial nerve at upper arm level, right arm"
S4422,S,"Injury of radial nerve at upper arm level, left arm"
S443,S,Injury of axillary nerve
S4430,S,"Injury of axillary nerve, unspecified arm"
S4431,S,"Injury of axillary nerve, right arm"
S4432,S,"Injury of axillary nerve, left arm"
S444,S,Injury of musculocutaneous nerve
S4440,S,"Injury of musculocutaneous nerve, unspecified arm"
S4441,S,"Injury of musculocutaneous nerve, right arm"
S4442,S,"Injury of musculocutaneous nerve, left arm"
S445,S,Injury of cutaneous sensory nerve at shldr/up arm
S4450,S,"Injury of cutaneous sensory nerve at shldr/up arm, unsp arm"
S4451,S,"Injury of cutaneous sensory nerve at shldr/up arm, right ar"
S4452,S,"Injury of cutaneous sensory nerve at shldr/up arm, left arm"
S448,S,Injury of other nerves at shoulder and upper arm level
S448X,S,Injury of other nerves at shoulder and upper arm level
S448X1,S,"Injury of nerves at shoulder and upper arm level, right arm"
S448X2,S,"Injury of nerves at shoulder and upper arm level, left arm"
S448X9,S,"Injury of nerves at shoulder and upper arm level, unsp arm"
S449,S,Injury of unspecified nerve at shoulder and upper arm level
S4490,S,"Injury of unsp nerve at shldr/up arm, unsp arm"
S4491,S,"Injury of unsp nerve at shldr/up arm, right arm"
S4492,S,"Injury of unsp nerve at shldr/up arm, left arm"
S45,S,Injury of blood vessels at shoulder and upper arm level
S450,S,Injury of axillary artery
S4500,S,Unspecified injury of axillary artery
S45001,S,"Unspecified injury of axillary artery, right side"
S45002,S,"Unspecified injury of axillary artery, left side"
S45009,S,"Unspecified injury of axillary artery, unspecified side"
S4501,S,Laceration of axillary artery
S45011,S,"Laceration of axillary artery, right side"
S45012,S,"Laceration of axillary artery, left side"
S45019,S,"Laceration of axillary artery, unspecified side"
S4509,S,Other specified injury of axillary artery
S45091,S,"Other specified injury of axillary artery, right side"
S45092,S,"Other specified injury of axillary artery, left side"
S45099,S,"Other specified injury of axillary artery, unspecified side"
S451,S,Injury of brachial artery
S4510,S,Unspecified injury of brachial artery
S45101,S,"Unspecified injury of brachial artery, right side"
S45102,S,"Unspecified injury of brachial artery, left side"
S45109,S,"Unspecified injury of brachial artery, unspecified side"
S4511,S,Laceration of brachial artery
S45111,S,"Laceration of brachial artery, right side"
S45112,S,"Laceration of brachial artery, left side"
S45119,S,"Laceration of brachial artery, unspecified side"
S4519,S,Other specified injury of brachial artery
S45191,S,"Other specified injury of brachial artery, right side"
S45192,S,"Other specified injury of brachial artery, left side"
S45199,S,"Other specified injury of brachial artery, unspecified side"
S452,S,Injury of axillary or brachial vein
S4520,S,Unspecified injury of axillary or brachial vein
S45201,S,"Unspecified injury of axillary or brachial vein, right side"
S45202,S,"Unspecified injury of axillary or brachial vein, left side"
S45209,S,"Unsp injury of axillary or brachial vein, unspecified side"
S4521,S,Laceration of axillary or brachial vein
S45211,S,"Laceration of axillary or brachial vein, right side"
S45212,S,"Laceration of axillary or brachial vein, left side"
S45219,S,"Laceration of axillary or brachial vein, unspecified side"
S4529,S,Other specified injury of axillary or brachial vein
S45291,S,"Oth injury of axillary or brachial vein, right side"
S45292,S,"Oth injury of axillary or brachial vein, left side"
S45299,S,"Oth injury of axillary or brachial vein, unspecified side"
S453,S,Injury of superficial vein at shoulder and upper arm level
S4530,S,Unsp injury of superficial vein at shldr/up arm
S45301,S,"Unsp injury of superficial vein at shldr/up arm, right arm"
S45302,S,"Unsp injury of superficial vein at shldr/up arm, left arm"
S45309,S,"Unsp injury of superficial vein at shldr/up arm, unsp arm"
S4531,S,Laceration of superficial vein at shldr/up arm
S45311,S,"Laceration of superficial vein at shldr/up arm, right arm"
S45312,S,"Laceration of superficial vein at shldr/up arm, left arm"
S45319,S,"Laceration of superficial vein at shldr/up arm, unsp arm"
S4539,S,Inj superficial vein at shoulder and upper arm level
S45391,S,"Inj superficial vein at shldr/up arm, right arm"
S45392,S,"Inj superficial vein at shldr/up arm, left arm"
S45399,S,"Inj superficial vein at shldr/up arm, unsp arm"
S458,S,Injury of oth blood vessels at shoulder and upper arm level
S4580,S,Unsp injury of blood vessels at shoulder and upper arm leve
S45801,S,"Unsp injury of blood vessels at shldr/up arm, right arm"
S45802,S,"Unsp injury of blood vessels at shldr/up arm, left arm"
S45809,S,"Unsp injury of blood vessels at shldr/up arm, unsp arm"
S4581,S,Laceration of blood vessels at shoulder and upper arm level
S45811,S,"Laceration of blood vessels at shldr/up arm, right arm"
S45812,S,"Laceration of blood vessels at shldr/up arm, left arm"
S45819,S,"Laceration of blood vessels at shldr/up arm, unsp arm"
S4589,S,Inj oth blood vessels at shoulder and upper arm level
S45891,S,"Inj oth blood vessels at shldr/up arm, right arm"
S45892,S,"Inj oth blood vessels at shldr/up arm, left arm"
S45899,S,"Inj oth blood vessels at shldr/up arm, unsp arm"
S459,S,Injury of unsp blood vessel at shoulder and upper arm level
S4590,S,Unsp injury of unsp blood vessel at shldr/up arm
S45901,S,"Unsp injury of unsp blood vessel at shldr/up arm, right arm"
S45902,S,"Unsp injury of unsp blood vessel at shldr/up arm, left arm"
S45909,S,"Unsp injury of unsp blood vessel at shldr/up arm, unsp arm"
S4591,S,Laceration of unsp blood vessel at shldr/up arm
S45911,S,"Laceration of unsp blood vessel at shldr/up arm, right arm"
S45912,S,"Laceration of unsp blood vessel at shldr/up arm, left arm"
S45919,S,"Laceration of unsp blood vessel at shldr/up arm, unsp arm"
S4599,S,Inj unsp blood vessel at shoulder and upper arm level
S45991,S,"Inj unsp blood vessel at shldr/up arm, right arm"
S45992,S,"Inj unsp blood vessel at shldr/up arm, left arm"
S45999,S,"Inj unsp blood vessel at shldr/up arm, unsp arm"
S46,S,"Injury of muscle, fascia and tendon at shldr/up arm"
S460,S,Injury of musc/tend the rotator cuff of shoulder
S4600,S,Unsp injury of musc/tend the rotator cuff of shoulder
S46001,S,Unsp injury of musc/tend the rotator cuff of right shoulder
S46002,S,Unsp injury of musc/tend the rotator cuff of left shoulder
S46009,S,Unsp injury of musc/tend the rotator cuff of unsp shoulder
S4601,S,Strain of musc/tend the rotator cuff of shoulder
S46011,S,Strain of musc/tend the rotator cuff of right shoulder
S46012,S,Strain of musc/tend the rotator cuff of left shoulder
S46019,S,Strain of musc/tend the rotator cuff of unsp shoulder
S4602,S,Laceration of musc/tend the rotator cuff of shoulder
S46021,S,Laceration of musc/tend the rotator cuff of right shoulder
S46022,S,Laceration of musc/tend the rotator cuff of left shoulder
S46029,S,Laceration of musc/tend the rotator cuff of unsp shoulder
S4609,S,Inj muscle(s) and tendon(s) of the rotator cuff of shoulder
S46091,S,Inj musc/tend the rotator cuff of right shoulder
S46092,S,Inj musc/tend the rotator cuff of left shoulder
S46099,S,Inj musc/tend the rotator cuff of unsp shoulder
S461,S,"Injury of muscle, fascia and tendon of long head of biceps"
S4610,S,Unsp injury of musc/fasc/tend long head of biceps
S46101,S,"Unsp injury of musc/fasc/tend long head of biceps, right ar"
S46102,S,"Unsp injury of musc/fasc/tend long head of biceps, left arm"
S46109,S,"Unsp injury of musc/fasc/tend long head of biceps, unsp arm"
S4611,S,"Strain of muscle, fascia and tendon of long head of biceps"
S46111,S,"Strain of musc/fasc/tend long head of biceps, right arm"
S46112,S,"Strain of musc/fasc/tend long head of biceps, left arm"
S46119,S,"Strain of musc/fasc/tend long head of biceps, unsp arm"
S4612,S,Laceration of musc/fasc/tend long head of biceps
S46121,S,"Laceration of musc/fasc/tend long head of biceps, right arm"
S46122,S,"Laceration of musc/fasc/tend long head of biceps, left arm"
S46129,S,"Laceration of musc/fasc/tend long head of biceps, unsp arm"
S4619,S,"Inj muscle, fascia and tendon of long head of biceps"
S46191,S,"Inj musc/fasc/tend long head of biceps, right arm"
S46192,S,"Inj musc/fasc/tend long head of biceps, left arm"
S46199,S,"Inj musc/fasc/tend long head of biceps, unsp arm"
S462,S,"Injury of muscle, fascia and tendon of other parts of bicep"
S4620,S,"Unsp injury of muscle, fascia and tendon of oth prt biceps"
S46201,S,"Unsp injury of musc/fasc/tend prt biceps, right arm"
S46202,S,"Unsp injury of musc/fasc/tend prt biceps, left arm"
S46209,S,"Unsp injury of musc/fasc/tend prt biceps, unsp arm"
S4621,S,"Strain of muscle, fascia and tendon of other parts of bicep"
S46211,S,"Strain of muscle, fascia and tendon of prt biceps, right ar"
S46212,S,"Strain of muscle, fascia and tendon of prt biceps, left arm"
S46219,S,"Strain of muscle, fascia and tendon of prt biceps, unsp arm"
S4622,S,"Laceration of muscle, fascia and tendon of oth prt biceps"
S46221,S,"Laceration of musc/fasc/tend prt biceps, right arm"
S46222,S,"Laceration of musc/fasc/tend prt biceps, left arm"
S46229,S,"Laceration of musc/fasc/tend prt biceps, unsp arm"
S4629,S,"Inj muscle, fascia and tendon of oth parts of biceps"
S46291,S,"Inj muscle, fascia and tendon of oth prt biceps, right arm"
S46292,S,"Inj muscle, fascia and tendon of oth prt biceps, left arm"
S46299,S,"Inj muscle, fascia and tendon of oth prt biceps, unsp arm"
S463,S,"Injury of muscle, fascia and tendon of triceps"
S4630,S,"Unspecified injury of muscle, fascia and tendon of triceps"
S46301,S,"Unsp injury of musc/fasc/tend triceps, right arm"
S46302,S,"Unsp injury of musc/fasc/tend triceps, left arm"
S46309,S,"Unsp injury of musc/fasc/tend triceps, unsp arm"
S4631,S,"Strain of muscle, fascia and tendon of triceps"
S46311,S,"Strain of muscle, fascia and tendon of triceps, right arm"
S46312,S,"Strain of muscle, fascia and tendon of triceps, left arm"
S46319,S,"Strain of muscle, fascia and tendon of triceps, unsp arm"
S4632,S,"Laceration of muscle, fascia and tendon of triceps"
S46321,S,"Laceration of musc/fasc/tend triceps, right arm"
S46322,S,"Laceration of muscle, fascia and tendon of triceps, left ar"
S46329,S,"Laceration of muscle, fascia and tendon of triceps, unsp ar"
S4639,S,"Other injury of muscle, fascia and tendon of triceps"
S46391,S,"Inj muscle, fascia and tendon of triceps, right arm"
S46392,S,"Oth injury of muscle, fascia and tendon of triceps, left ar"
S46399,S,"Oth injury of muscle, fascia and tendon of triceps, unsp ar"
S468,S,Injury of musc/fasc/tend at shoulder and upper arm level
S4680,S,Unsp injury of musc/fasc/tend at shldr/up arm
S46801,S,"Unsp injury of musc/fasc/tend at shldr/up arm, right arm"
S46802,S,"Unsp injury of musc/fasc/tend at shldr/up arm, left arm"
S46809,S,"Unsp injury of musc/fasc/tend at shldr/up arm, unsp arm"
S4681,S,Strain of musc/fasc/tend at shoulder and upper arm level
S46811,S,"Strain of musc/fasc/tend at shldr/up arm, right arm"
S46812,S,"Strain of musc/fasc/tend at shldr/up arm, left arm"
S46819,S,"Strain of musc/fasc/tend at shldr/up arm, unsp arm"
S4682,S,Laceration of musc/fasc/tend at shoulder and upper arm leve
S46821,S,"Laceration of musc/fasc/tend at shldr/up arm, right arm"
S46822,S,"Laceration of musc/fasc/tend at shldr/up arm, left arm"
S46829,S,"Laceration of musc/fasc/tend at shldr/up arm, unsp arm"
S4689,S,Oth injury of musc/fasc/tend at shoulder and upper arm leve
S46891,S,"Inj musc/fasc/tend at shldr/up arm, right arm"
S46892,S,"Inj musc/fasc/tend at shoulder and upper arm level, left ar"
S46899,S,"Inj musc/fasc/tend at shoulder and upper arm level, unsp ar"
S469,S,"Injury of unsp muscle, fascia and tendon at shldr/up arm"
S4690,S,Unsp injury of unsp musc/fasc/tend at shldr/up arm
S46901,S,"Unsp inj unsp musc/fasc/tend at shldr/up arm, right arm"
S46902,S,"Unsp injury of unsp musc/fasc/tend at shldr/up arm, left ar"
S46909,S,"Unsp injury of unsp musc/fasc/tend at shldr/up arm, unsp ar"
S4691,S,"Strain of unsp muscle, fascia and tendon at shldr/up arm"
S46911,S,"Strain of unsp musc/fasc/tend at shldr/up arm, right arm"
S46912,S,"Strain of unsp musc/fasc/tend at shldr/up arm, left arm"
S46919,S,"Strain of unsp musc/fasc/tend at shldr/up arm, unsp arm"
S4692,S,"Laceration of unsp muscle, fascia and tendon at shldr/up ar"
S46921,S,"Laceration of unsp musc/fasc/tend at shldr/up arm, right ar"
S46922,S,"Laceration of unsp musc/fasc/tend at shldr/up arm, left arm"
S46929,S,"Laceration of unsp musc/fasc/tend at shldr/up arm, unsp arm"
S4699,S,"Inj unsp muscle, fascia and tendon at shldr/up arm"
S46991,S,"Inj unsp musc/fasc/tend at shldr/up arm, right arm"
S46992,S,"Inj unsp muscle, fascia and tendon at shldr/up arm, left ar"
S46999,S,"Inj unsp muscle, fascia and tendon at shldr/up arm, unsp ar"
S47,S,Crushing injury of shoulder and upper arm
S471,S,Crushing injury of right shoulder and upper arm
S472,S,Crushing injury of left shoulder and upper arm
S479,S,"Crushing injury of shoulder and upper arm, unspecified arm"
S48,S,Traumatic amputation of shoulder and upper arm
